id,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,last_review
2539,2787,Brooklyn,Kensington,Private room,149,1.0,9,0.21,365,2018-10-19
2595,2845,Manhattan,Midtown,Entire home/apt,225,1.0,45,0.38,355,2019-05-21
3647,4632,Manhattan,Harlem,Private room,150,3.0,0,0.0,365,
3831,4869,Brooklyn,Clinton Hill,Entire home/apt,89,1.0,270,4.64,194,2019-07-05
5022,7192,Manhattan,East Harlem,Entire home/apt,80,10.0,9,0.1,0,2018-11-19
5099,7322,Manhattan,Murray Hill,Entire home/apt,200,3.0,74,0.59,129,2019-06-22
5121,7356,Brooklyn,Bedford-Stuyvesant,Private room,60,45.0,49,0.4,0,2017-10-05
5178,8967,Manhattan,Hell's Kitchen,Private room,79,2.0,430,3.47,220,2019-06-24
5203,7490,Manhattan,Upper West Side,Private room,79,2.0,118,0.99,0,2017-07-21
5238,7549,Manhattan,Chinatown,Entire home/apt,150,1.0,160,1.33,188,2019-06-09
5295,7702,Manhattan,Upper West Side,Entire home/apt,135,5.0,53,0.43,6,2019-06-22
5441,7989,Manhattan,Hell's Kitchen,Private room,85,2.0,188,1.5,39,2019-06-23
5803,9744,Brooklyn,South Slope,Private room,89,4.0,167,1.34,314,2019-06-24
6021,11528,Manhattan,Upper West Side,Private room,85,2.0,113,0.91,333,2019-07-05
6090,11975,Manhattan,West Village,Entire home/apt,120,45.0,27,0.22,0,2018-10-31
6848,15991,Brooklyn,Williamsburg,Entire home/apt,140,2.0,148,1.2,46,2019-06-29
7097,17571,Brooklyn,Fort Greene,Entire home/apt,215,2.0,198,1.72,321,2019-06-28
7322,18946,Manhattan,Chelsea,Private room,140,1.0,260,2.12,12,2019-07-01
7726,20950,Brooklyn,Crown Heights,Entire home/apt,99,3.0,53,4.44,21,2019-06-22
7750,17985,Manhattan,East Harlem,Entire home/apt,190,7.0,0,0.0,249,
7801,21207,Brooklyn,Williamsburg,Entire home/apt,299,3.0,9,0.07,0,2011-12-28
8024,22486,Brooklyn,Park Slope,Private room,130,2.0,130,1.09,347,2019-07-01
8025,22486,Brooklyn,Park Slope,Private room,80,1.0,39,0.37,364,2019-01-01
8110,22486,Brooklyn,Park Slope,Private room,110,2.0,71,0.61,304,2019-07-02
8490,25183,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2.0,88,0.73,233,2019-06-19
8505,25326,Brooklyn,Windsor Terrace,Private room,60,1.0,19,1.37,85,2019-06-23
8700,26394,Manhattan,Inwood,Private room,80,4.0,0,0.0,0,
9357,30193,Manhattan,Hell's Kitchen,Entire home/apt,150,10.0,58,0.49,75,2017-08-13
9518,31374,Manhattan,Inwood,Private room,44,3.0,108,1.11,311,2019-06-15
9657,21904,Manhattan,East Village,Entire home/apt,180,14.0,29,0.24,67,2019-04-19
9668,32294,Manhattan,Harlem,Private room,50,3.0,242,2.04,355,2019-06-01
9704,32045,Manhattan,Harlem,Private room,52,2.0,88,1.42,255,2019-06-14
9782,32169,Brooklyn,Greenpoint,Private room,55,4.0,197,1.65,284,2019-06-15
9783,32294,Manhattan,Harlem,Private room,50,3.0,273,2.37,359,2019-07-01
10452,35935,Brooklyn,Bedford-Stuyvesant,Private room,70,1.0,74,0.66,269,2019-05-12
10962,9744,Brooklyn,South Slope,Private room,89,4.0,168,1.41,340,2019-06-21
11452,7355,Brooklyn,Bedford-Stuyvesant,Private room,35,45.0,0,0.0,365,
11708,44145,Brooklyn,Bushwick,Entire home/apt,85,2.0,231,1.96,22,2019-06-22
11943,45445,Brooklyn,Flatbush,Private room,150,1.0,0,0.0,365,
12048,7549,Manhattan,Lower East Side,Shared room,40,1.0,214,1.81,188,2019-07-05
12192,46978,Manhattan,East Village,Private room,68,2.0,245,2.08,96,2019-06-21
12299,47610,Brooklyn,South Slope,Entire home/apt,120,3.0,15,0.39,345,2019-05-27
12303,47618,Brooklyn,Fort Greene,Private room,120,7.0,25,0.23,311,2018-09-30
12318,16800,Manhattan,Upper West Side,Private room,135,4.0,81,0.69,273,2019-06-16
12343,47727,Manhattan,Harlem,Entire home/apt,150,7.0,97,0.84,309,2019-06-13
12627,49670,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29.0,11,0.49,95,2019-06-05
12937,50124,Queens,Long Island City,Private room,130,3.0,248,2.25,215,2019-07-01
12940,50148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7.0,61,0.52,265,2019-05-25
13050,50846,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3.0,11,0.1,0,2017-01-01
13394,52335,Brooklyn,Fort Greene,Private room,80,3.0,135,1.16,192,2019-06-17
13808,54275,Brooklyn,Bedford-Stuyvesant,Private room,80,1.0,112,1.01,251,2019-06-16
14287,56094,Manhattan,Upper West Side,Entire home/apt,151,2.0,73,0.63,302,2019-07-07
14290,56104,Brooklyn,Williamsburg,Entire home/apt,228,3.0,82,0.7,140,2019-05-17
14314,56246,Brooklyn,Greenpoint,Entire home/apt,144,2.0,328,2.82,234,2019-06-29
